frame,x_px,y_px,angle_raw_rad,angle_unwrap_rad, omega
0,686.257,284.27,0.351883,0.351883,1.72207
1,683.911,278.417,0.380584,0.380584,1.72144
2,681.911,272.417,0.409275,0.409275,1.76936
3,678.731,266.741,0.438764,0.438764,1.80518
4,676.235,260.603,0.46885,0.46885,1.69165
5,673.224,255.181,0.497044,0.497044,1.8118
6,670.316,249.195,0.527241,0.527241,1.7486
7,666.77,243.843,0.556384,0.556384,1.77336
8,663.199,238.412,0.58594,0.58594,1.918
9,659.169,232.655,0.617907,0.617907,1.59982
10,655.795,227.859,0.644571,0.644571,1.89011
11,651.757,222.219,0.676073,0.676073,1.87024
12,647.145,217.133,0.707243,0.707243,1.79913
13,642.767,212.204,0.737229,0.737229,1.83683
14,638.316,207.148,0.767843,0.767843,1.81638
15,633.801,202.236,0.798116,0.798116,1.83382
16,628.661,197.879,0.828679,0.828679,1.82751
17,623.832,193.222,0.859138,0.859138,1.96169
18,618.281,188.637,0.891833,0.891833,1.74169
19,613.199,184.762,0.920861,0.920861,1.9536
20,607.206,180.826,0.953421,0.953421,1.84481
21,601.823,176.72,0.984168,0.984168,1.85088
22,596.309,172.733,1.01502,1.01502,1.9074
23,590.286,169.151,1.04681,1.04681,1.85013
24,584.334,165.872,1.07764,1.07764,1.97626
25,577.797,162.716,1.11058,1.11058,1.8201
26,571.772,159.834,1.14091,1.14091,1.97551
27,565.209,156.739,1.17384,1.17384,1.89934
28,558.671,154.308,1.20549,1.20549,1.86431
29,552.279,151.859,1.23657,1.23657,1.84612
30,545.805,149.85,1.26734,1.26734,1.85872
31,539.279,147.86,1.29831,1.29831,1.9764
32,532.306,145.834,1.33125,1.33125,1.82618
33,525.797,144.186,1.36169,1.36169,1.94908
34,518.695,143.197,1.39417,1.39417,1.90077
35,511.834,141.909,1.42585,1.42585,1.8343
36,505.19,140.715,1.45643,1.45643,1.86396
37,498.351,140.216,1.48749,1.48749,1.94843
38,491.198,139.892,1.51997,1.51997,1.89097
